Type      data      AOT_index AOT_f          Rnidx_f   Inidx_f        Reff_f       Veff_f     AOT_c           Rnidx_c   Inidx_c         Reff_c      Veff_c     AOT_t(555nm)    SSA(555nm)
Amazonian parameter 1  	  0.0351000 1.47000   0.00100000     0.176000     0.174000   0.00390000      1.47000   0.00100000      6.90500     0.867000  0.0390000    0.98488868      
Amazonian parameter 2	  0.0756000 1.47000   0.00100000     0.176000     0.174000   0.00840000      1.47000   0.00100000      6.90500     0.867000  0.0840000    0.98488864      
Amazonian parameter 3	  0.110700  1.47000   0.00100000     0.176000     0.174000    0.0123000      1.47000   0.00100000      6.90500     0.867000  0.123000     0.98488866      
Amazonian parameter 4	  0.162900  1.47000   0.00100000     0.176000     0.174000    0.0181000      1.47000   0.00100000      6.90500     0.867000  0.181000     0.98488869      
Amazonian parameter 5	  0.311400  1.47000   0.00100000     0.176000     0.174000    0.0346000      1.47000   0.00100000      6.90500     0.867000  0.346000     0.98488869 
Amazonian  uncertainty 1  0.0041324121     0.015486178    0.0033632925    0.0055109160     0.017743024    0.0013665425     0.021971939    0.0014430533       1.2365004      0.18458866   0.0042076922  0.030136891
Amazonian  uncertainty 2  0.0053040115    0.0088906221    0.0020357333    0.0032499514     0.010693327    0.0024499546     0.014446726    0.0010417820       1.1045139      0.17404005   0.0052056482  0.015091584
Amazonian  uncertainty 3  0.0058983222    0.0066184568    0.0014997575    0.0024742054    0.0080595713    0.0030170764     0.011224116   0.00075553408       1.0035920      0.16423894   0.0057857820  0.010517234  
Amazonian  uncertainty 4  0.0066169386    0.0049157615    0.0010951878    0.0018822962    0.0060496586    0.0035672947    0.0085853767   0.00054718399      0.88674436      0.15173690   0.0064967908  0.0073436036
Amazonian uncertainty 5	  0.0081965255    0.0024399753   0.00047418912    0.0011027514    0.0035846597    0.0044024903    0.0051214369   0.00026258945      0.68393045      0.12407663   0.0083332221  0.0038214424 
African parameter 1   0.0351000      1.51000    0.0210000     0.152000     0.174000   0.00390000      1.51000    0.0210000      5.94600     0.704000  0.0390000    0.86043410      
African parameter 2   0.0756000      1.51000    0.0210000     0.152000     0.174000   0.00840000      1.51000    0.0210000      5.94600     0.704000  0.0840000    0.86043407      
African parameter 3   0.110700      1.51000    0.0210000     0.152000     0.174000    0.0123000      1.51000    0.0210000      5.94600     0.704000  0.123000     0.86043408      
African parameter 4   0.162900      1.51000    0.0210000     0.152000     0.174000    0.0181000      1.51000    0.0210000      5.94600     0.704000  0.181000     0.86043410      
African parameter 5   0.311400      1.51000    0.0210000     0.152000     0.174000    0.0346000      1.51000    0.0210000      5.94600     0.704000  0.346000     0.86043410 
African uncertainty 1 0.0044215291     0.019228508    0.0022708034    0.0061315637     0.016370884    0.0017471713     0.055711667    0.0077225254       1.2302980      0.18477289    0.0045099868    0.019271259
African uncertainty 2 0.0054928985     0.010441879    0.0012237815    0.0034530186    0.0092657270    0.0023695821     0.038131472    0.0082231274       1.0840504      0.16210699    0.0059301331    0.012214965
African uncertainty 3 0.0063313520    0.0067706839    0.0016466376    0.0019027395    0.0076528734    0.0031093124     0.029615078    0.0075776775       1.0167713      0.15091915    0.0069903304    0.010305504
African uncertainty 4 0.0072065996    0.0051008835    0.0011932793    0.0014654108    0.0058127349    0.0040026302     0.022526597    0.0067750983      0.95688141      0.13687217    0.0082952398    0.008878563
African uncertainty 5 0.0092316214    0.0038072648   0.00039011934    0.0013613829    0.0035693240    0.0067783455     0.013531811    0.0029645545      0.89944291      0.13716470    0.012195614     0.0078193017
Paris parameter 1   0.0351000      1.40000   0.00900000     0.173000     0.203000   0.00390000      1.40000   0.00900000      5.38500     0.867000 0.0390000    0.91190770      
Paris parameter 2   0.0756000      1.40000   0.00900000     0.173000     0.203000   0.00840000      1.40000   0.00900000      5.38500     0.867000 0.0840000    0.91190766      
